iter	RMSE
1555	16663.89731
1556	16662.54559
1557	16657.97579
1558	16651.80149
1559	16646.92932
1560	16639.4842
1561	16635.44865
1562	16629.70022
1563	16626.88373
1564	16625.08497
1565	16622.54861
1566	16617.28823
1567	16610.94844
1568	16604.11698
1569	16601.00156
1570	16598.48873
1571	16594.46257
1572	16593.00661
1573	16588.11967
1574	16586.9266
1575	16585.00625
1576	16583.27892
1577	16580.18598
1578	16578.90548
1579	16574.49586
1580	16567.28285
1581	16560.32252
1582	16556.48017
1583	16553.59457
1584	16551.18863
1585	16549.62275
1586	16547.01878
1587	16543.00128
1588	16538.877
1589	16535.51829
1590	16531.30989
1591	16526.75731
1592	16521.10163
1593	16518.50613
1594	16515.68368
1595	16514.5077
1596	16512.76473
1597	16512.02992
1598	16509.72993
1599	16507.14248
1600	16503.31759
1601	16499.70572
1602	16496.64754
1603	16492.03167
1604	16490.23814
1605	16488.29325
1606	16486.22029
1607	16480.62107
1608	16476.32932
1609	16474.92828
1610	16470.95593
1611	16469.29389
1612	16463.20434
1613	16462.09483
1614	16459.30997
1615	16455.8957
1616	16452.24521
1617	16449.88254
1618	16448.4839
1619	16443.03572
1620	16437.52067
1621	16430.96049
1622	16427.20957
1623	16425.82039
1624	16422.69733
1625	16418.40911
1626	16416.47327
1627	16412.53893
1628	16409.90789
1629	16408.21498
1630	16402.76509
1631	16399.95072
1632	16393.01827
1633	16387.12798
1634	16382.557
1635	16377.28995
1636	16372.88302
1637	16371.63901
1638	16368.40584
1639	16364.37261
1640	16362.03007
1641	16355.51205
1642	16349.90142
1643	16345.5629
1644	16343.19824
1645	16337.93985
1646	16333.25435
1647	16330.59725
1648	16325.58517
1649	16321.28315
1650	16316.94769
1651	16314.10652
1652	16312.84328
1653	16308.09936
1654	16306.04842
1655	16303.95747
1656	16301.50436
1657	16297.55565
1658	16295.38653
1659	16288.02784
1660	16285.7153
1661	16282.65301
1662	16276.64358
1663	16274.97154
